token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,symbol_clean
13844,MMFL-EQ,MMFL,,-1,1,,NSE,5,MMFL
13920,PLASTIBLEN-EQ,PLASTIBLEN,,-1,1,,NSE,1,PLASTIBLEN
13987,ABSLBANETF-EQ,ABSLBANETF,,-1,1,,NSE,1,ABSLBANETF
1403,HINDOILEXP-EQ,HINDOILEXP,,-1,1,,NSE,1,HINDOILEXP
14385,POCL-EQ,POCL,,-1,1,,NSE,5,POCL
14501,BALAMINES-EQ,BALAMINES,,-1,1,,NSE,10,BALAMINES
14511,BANSWRAS-EQ,BANSWRAS,,-1,1,,NSE,1,BANSWRAS
14602,WEBELSOLAR-EQ,WEBELSOLAR,,-1,1,,NSE,10,WEBELSOLAR
14745,ADVANIHOTR-EQ,ADVANIHOTR,,-1,1,,NSE,1,ADVANIHOTR
14753,031NSETEST-EQ,031NSETEST,,-1,1,,NSE,5,031NSETEST
14848,ALPA-EQ,ALPA,,-1,1,,NSE,1,ALPA
14937,CIEINDIA-EQ,CIEINDIA,,-1,1,,NSE,5,CIEINDIA
14972,KSCL-EQ,KSCL,,-1,1,,NSE,10,KSCL
15007,MANGCHEFER-EQ,MANGCHEFER,,-1,1,,NSE,5,MANGCHEFER
15034,BAJAJELEC-EQ,BAJAJELEC,,-1,1,,NSE,5,BAJAJELEC
15067,BLAL-EQ,BLAL,,-1,1,,NSE,1,BLAL
15278,ONMOBILE-EQ,ONMOBILE,,-1,1,,NSE,1,ONMOBILE
15308,SEPC-EQ,SEPC,,-1,1,,NSE,1,SEPC
15362,VGUARD-EQ,VGUARD,,-1,1,,NSE,5,VGUARD
15356,GOLDETFADD-EQ,GOLDETFADD,,-1,1,,NSE,1,GOLDETFADD
1581,TARC-EQ,TARC,,-1,1,,NSE,1,TARC
1593,MGEL-EQ,MGEL,,-1,1,,NSE,1,MGEL
16943,ASHOKAMET-EQ,ASHOKAMET,,-1,1,,NSE,1,ASHOKAMET
17029,PATANJALI-EQ,PATANJALI,,-1,1,,NSE,10,PATANJALI
17094,CROMPTON-EQ,CROMPTON,,-1,1,,NSE,5,CROMPTON
17388,ADANIPOWER-EQ,ADANIPOWER,,-1,1,,NSE,5,ADANIPOWER
17395,SETF10GILT-EQ,SETF10GILT,,-1,1,,NSE,1,SETF10GILT
22477,NOVAAGRI-EQ,NOVAAGRI,,-1,1,,NSE,1,NOVAAGRI
22488,NIFITETF-EQ,NIFITETF,,-1,1,,NSE,1,NIFITETF
2320,SMCGLOBAL-EQ,SMCGLOBAL,,-1,1,,NSE,1,SMCGLOBAL
23729,AADHARHFC-EQ,AADHARHFC,,-1,1,,NSE,5,AADHARHFC
2385,NAVNETEDUL-EQ,NAVNETEDUL,,-1,1,,NSE,1,NAVNETEDUL
23799,GODIGIT-EQ,GODIGIT,,-1,1,,NSE,5,GODIGIT
2388,NELCO-EQ,NELCO,,-1,1,,NSE,5,NELCO
24154,DEEDEV-EQ,DEEDEV,,-1,1,,NSE,5,DEEDEV
24321,VRAJ-EQ,VRAJ,,-1,1,,NSE,1,VRAJ
2435,CONSUMBEES-EQ,CONSUMBEES,,-1,1,,NSE,1,CONSUMBEES
24404,ABGSEC-EQ,ABGSEC,,-1,1,,NSE,1,ABGSEC
24445,AGIIL-EQ,AGIIL,,-1,1,,NSE,5,AGIIL
24870,INVENTURE-EQ,INVENTURE,,-1,1,,NSE,1,INVENTURE
17603,MAHEPC-EQ,MAHEPC,,-1,1,,NSE,1,MAHEPC
17625,MOLDTECH-EQ,MOLDTECH,,-1,1,,NSE,1,MOLDTECH
17641,SUNTECK-EQ,SUNTECK,,-1,1,,NSE,5,SUNTECK
17691,VIJIFIN-EQ,VIJIFIN,,-1,1,,NSE,1,VIJIFIN
17801,LLOYDSENGG-EQ,LLOYDSENGG,,-1,1,,NSE,1,LLOYDSENGG
17808,QUAL30IETF-EQ,QUAL30IETF,,-1,1,,NSE,1,QUAL30IETF
17933,BEARDSELL-EQ,BEARDSELL,,-1,1,,NSE,1,BEARDSELL
1808,KAJARIACER-EQ,KAJARIACER,,-1,1,,NSE,10,KAJARIACER
18118,THANGAMAYL-EQ,THANGAMAYL,,-1,1,,NSE,10,THANGAMAYL
1814,KPIL-EQ,KPIL,,-1,1,,NSE,10,KPIL
18154,HATHWAY-EQ,HATHWAY,,-1,1,,NSE,1,HATHWAY
18226,MANINFRA-EQ,MANINFRA,,-1,1,,NSE,1,MANINFRA
18755,KALAMANDIR-EQ,KALAMANDIR,,-1,1,,NSE,1,KALAMANDIR
19025,KIRLOSIND-EQ,KIRLOSIND,,-1,1,,NSE,10,KIRLOSIND
19223,TCIEXP-EQ,TCIEXP,,-1,1,,NSE,5,TCIEXP
19531,BAJAJCON-EQ,BAJAJCON,,-1,1,,NSE,1,BAJAJCON
19597,IRMENERGY-EQ,IRMENERGY,,-1,1,,NSE,5,IRMENERGY
19877,RADIOCITY-EQ,RADIOCITY,,-1,1,,NSE,1,RADIOCITY
19878,ESAFSFB-EQ,ESAFSFB,,-1,1,,NSE,1,ESAFSFB
